BJQ,1015

570000Y11220,Y112,241027,0
JGG,,23:00
JBH,736

650000Y116N0,Y116,240906,0
650000Y116O0,Y116,240919,0
BJQ,,12:02
GZQ,99

650000Y116P0,Y116,241018,0
650000Y116Q0,Y116,241021,0
BJQ,,12:02
GZQ,102

710000Y11620,Y116,241123,0
ZJZ,,21:20
YLZ,183,22
LZZ,301,21
VAW,295,8
GIW,252

650000Y116R0,Y116,241127,0
BJQ,,12:02
GZQ,99

710000Y11710,Y117,240722,0
LZZ,,20:20
VAW,230

780000Y11800,Y118,240713,0
VAW,,00:48
LZZ,307,865
GIW,455,33
ZWJ,9

390000Y12110,Y121,240809,0
WCN,,20:10
CBN,81,4
YYQ,64,17
CSQ,117,10
ZZQ,38,20
HYQ,179,6
CZQ,100,6
SGQ,115,6
GZQ,167

630000Y122D0,Y122,240618,0
GZQ,,10:18
YTQ,59,3
SGQ,123,6
CZQ,105,6
HYQ,109,6
ZZQ,86,22
CSQ,55,15
YYQ,90,6
CBN,106,19
WCN,78,27
XUN,181,12
孟庙,160,30
ZZF,208,38
AYF,189,19
HDP,60,6
SJP,164,26
BDP,81,27
FTP,116,39
BJP,22,21
FUP,219,11
SHD,140

420000Y12230,Y122,240621,0
HAN,,17:55
DYN,43,3
JMN,33,3
XFN,78,31
ZYN,43,12
SZN,51,3
WCN,125,39
XGN,64,3
ZZF,524,38
SHD,1140

390000Y12270,Y122,240628,0
CBN,,22:20
XNN,27,17
WCN,72,32
XGN,91,8
XUN,133,12
ZDN,88,5
LON,43,12
孟庙,12,30
ZZF,208,38
AYF,189,19
HDP,60,4
SJP,163,29
BDP,81,27
FTP,118,37
BJP,22,21
FUP,215,12
SHD,143

710000Y122G0,Y122,240630,0
GBZ,,11:00
AOQ,228,28
HYQ,88,31
CSQ,163,15
YYQ,90,6
ZZF,821,38
SJP,438,26
SHD,676

800000Y122E0,Y122,240711,0
KMM,,15:55
YZW,1089,3
HHQ,105,20
LDQ,263,6
XTQ,75,4
ZZQ,43,20
CSQ,55,15
YYQ,90

420000Y12240,Y122,240716,0
HAN,,16:30
DYN,49,3
JMN,37,6
XFN,101,27
WCN,287,39
XUN,181,12
ZZF,398,38
SJP,438,26
BJP,285,21
SHD,370

630000Y122E0,Y122,240723,0
GZQ,,10:18
GBQ,36,3
YTQ,26,3
SGQ,117,6
CZQ,105,6
HYQ,109,6
ZZQ,86,22
CSQ,55,15
YYQ,90,6
CBN,106,19
WCN,78,27
XUN,181,12
孟庙,160,30
ZZF,208,38
AYF,189,19
HDP,60,6
SJP,164,26
BDP,81,27
FTP,116,39
BJP,22,21
FUP,219,11
SHD,140

260000Y12220,Y122,240810,0
BDP,,21:40
SBT,955

630000Y122F0,Y122,240811,0
GZQ,,10:18
SGQ,185,6
CZQ,105,6
HYQ,109,6
ZZQ,86,22
CSQ,55,15
YYQ,90,6
CBN,106,19
WCN,78,27
XUN,181,12
LON,136,12
孟庙,12,30
ZZF,208,38
AYF,189,19
HDP,60,6
SJP,164,26
BDP,81,27
FTP,116,39
BJP,22,21
FUP,219,11
SHD,140

260000Y12260,Y122,240818,0
BDP,,21:40
BJP,177

780000Y12260,Y122,240825,0
UMW,,23:40
LIW,81,32
ASW,46,12
GIW,105,42
KLW,155,4
YZW,147,3
HHQ,105,20
XTQ,344,4
ZZQ,43,20
CSQ,55,15
WCN,299,27
SHD,1341

620000Y12290,Y122,240829,0
AOQ,,15:16
HYQ,88,31
ZZQ,86,22
CSQ,55,15
YYQ,90,6
CBN,106,19
WCN,78,27
XUN,181,12
孟庙,160,30
ZZF,208,38
AYF,189,19
HDP,60,6
SJP,164,26
BDP,81,27
FTP,116,39
BJP,22,21
FUP,219,11
SHD,140

420000Y12250,Y122,240830,0
HAN,,16:30
DYN,49,3
JMN,37,6
XFN,101,27
