宿州东,SRH,18
绥中,SZD,16:30
朔州,SUV,15
深圳,SZQ,09
随州,SZN,17
宿州,OXH,18
苏州,SZH,16
尚志,SZB,16:30
随州南,ONN,17
尚志南,OZB,09
深圳坪山,IFQ,14
石嘴山,QQJ,11:30
石柱县,OSW,15:30
深圳西,OSQ,09
泰安,TMK,16:30
通北,TBB,16:30
铜川东,TCY,
塔城,TZR,09
汤池,TCX,16:30
通道,TRQ,17:30
土地堂东,TTN,18
塔尔气,TVX,16:30
潼关,TGY,18
太谷,TGV,15
塘沽,TGP,16
吐哈,THR,09
通海,TAM,15
塔哈,THX,16:30
天河机场,TJN,18
泰和,THG,17:30
塔河,TXX,16:30
天河街,TEN,18
太湖南,TAU,
天河潭,TTE,
通化,THL,15:30
太湖,TKH,12:30
同江,TJB,16:30
陶家屯,TOT,16:30
托克托东,TVC,15
泰来,TLX,16:30
吐鲁番北,TAR,09
吐鲁番,TFR,09
通辽,TLD,13
铜陵,TJH,10
铁岭,TLT,16:30
铁力,TLB,16:30
桐庐,TLU,10:30
铁岭西,PXT,16:30
陶赖昭,TPT,16:30
图们北,QSL,15:30
图们,TML,15:30
头门港,TMU,
图木舒克,TMR,09
天门南,TNN,17
潼南,TVW,15:30
泰宁,TNS,18
铜仁,RDQ,17:30
铜仁南,TNW,15:30
